feature_1,feature_2,correlation,abs_correlation
slope_ema_15m_normalized,macd_histogram_normalized,0.8715762520071654,0.8715762520071654
slope2_ema_15m_normalized,oc_spread,0.8704589319764645,0.8704589319764645
price_normalized,momentum_60m,0.8656649617295936,0.8656649617295936
slope_ema_30m_normalized,macd_normalized,0.8639002115303666,0.8639002115303666
slope_ema_30m_normalized,ema_crossover_5m_60m,0.8639002115303666,0.8639002115303666
ema_30m_normalized,macd_normalized,-0.863900211530352,0.863900211530352
ema_30m_normalized,ema_crossover_5m_60m,-0.863900211530352,0.863900211530352
volatility_15m,volatility_30m,0.8631199891752463,0.8631199891752463
ema_60m_normalized,momentum_60m,-0.8626317879772067,0.8626317879772067
slope_ema_60m_normalized,momentum_60m,0.8626317879771929,0.8626317879771929
ema_30m_normalized,momentum_30m,-0.8595610059349403,0.8595610059349403
slope_ema_30m_normalized,momentum_30m,0.8595610059349307,0.8595610059349307
ema_15m_normalized,momentum_15m,-0.8593282283286756,0.8593282283286756
slope_ema_15m_normalized,momentum_15m,0.8593282283286541,0.8593282283286541
slope2_ema_10m_normalized,oc_spread,0.8516091616290368,0.8516091616290368
volatility_15m,atr_14,0.8494439080586142,0.8494439080586142
rsi_14,bb_position_20,0.8450755678770592,0.8450755678770592
ema_15m_z,ema_60m_z,0.8433029859495877,0.8433029859495877
momentum_30m,macd_signal_normalized,0.8384193380174427,0.8384193380174427
volatility_30m,atr_14,0.8230997068198955,0.8230997068198955
ema_15m_normalized,slope_ema_60m_normalized,-0.809045293968339,0.809045293968339
ema_15m_normalized,ema_60m_normalized,0.8090452939683356,0.8090452939683356
ema_60m_normalized,slope_ema_15m_normalized,-0.8090452939683236,0.8090452939683236
slope_ema_15m_normalized,slope_ema_60m_normalized,0.8090452939683166,0.8090452939683166
volatility_60m,atr_14,0.8055386769141211,0.8055386769141211
slope_ema_60m_normalized,momentum_15m,0.8020741352712897,0.8020741352712897
ema_60m_normalized,momentum_15m,-0.8020741352712875,0.8020741352712875
ema_10m_z,ema_60m_z,0.7989672431469877,0.7989672431469877
slope2_ema_5m_normalized,oc_spread,0.7969820877609937,0.7969820877609937
ema_30m_z,price_z,0.7932301309044342,0.7932301309044342
volatility_15m,volatility_60m,0.7728496467141874,0.7728496467141874
price_normalized,momentum_15m,0.7725288694107861,0.7725288694107861
ema_10m_normalized,momentum_15m,-0.7713225682550919,0.7713225682550919
slope_ema_10m_normalized,momentum_15m,0.7713225682550803,0.7713225682550803
slope_ema_5m_normalized,macd_histogram_normalized,0.7678243836785853,0.7678243836785853
ema_5m_normalized,macd_histogram_normalized,-0.7678243836785736,0.7678243836785736
price_normalized,ema_15m_normalized,-0.7621938197140897,0.7621938197140897
price_normalized,slope_ema_15m_normalized,0.7621938197140736,0.7621938197140736
price_z,bb_position_20,0.7469909204997275,0.7469909204997275
price_range,atr_14,0.7451667885693541,0.7451667885693541
momentum_15m,ema_crossover_5m_60m,0.7401547035623042,0.7401547035623042
momentum_15m,macd_normalized,0.7401547035623042,0.7401547035623042
ema_5m_z,ema_60m_z,0.7393600224219441,0.7393600224219441
momentum_15m,macd_histogram_normalized,0.731844893346031,0.731844893346031
price_z,rsi_14,0.7315324568901255,0.7315324568901255
ema_30m_normalized,dist_from_high_30m,-0.7266032271118702,0.7266032271118702
slope_ema_30m_normalized,dist_from_high_30m,0.7266032271118651,0.7266032271118651
momentum_30m,momentum_60m,0.7247241647490218,0.7247241647490218
slope_ema_5m_normalized,slope_ema_30m_normalized,0.7245156855855898,0.7245156855855898
ema_5m_normalized,slope_ema_30m_normalized,-0.7245156855855875,0.7245156855855875
ema_30m_normalized,slope_ema_5m_normalized,-0.7245156855855672,0.7245156855855672
ema_5m_normalized,ema_30m_normalized,0.7245156855855646,0.7245156855855646
volatility_30m,dist_from_high_30m,-0.7177294389424748,0.7177294389424748
slope_ema_30m_normalized,macd_histogram_normalized,0.715241473882841,0.715241473882841
ema_30m_normalized,macd_histogram_normalized,-0.7152414738828268,0.7152414738828268
ema_10m_normalized,slope_ema_60m_normalized,-0.7134649901634639,0.7134649901634639
slope_ema_10m_normalized,slope_ema_60m_normalized,0.7134649901634577,0.7134649901634577
ema_10m_normalized,ema_60m_normalized,0.7134649901634452,0.7134649901634452
ema_60m_normalized,slope_ema_10m_normalized,-0.7134649901634452,0.7134649901634452
momentum_15m,momentum_30m,0.7129040785763501,0.7129040785763501
slope_ema_60m_normalized,dist_from_high_30m,0.712861982615035,0.712861982615035
ema_60m_normalized,dist_from_high_30m,-0.7128619826150188,0.7128619826150188
price_normalized,price_z,0.7115373450538028,0.7115373450538028
price_normalized,ema_5m_z,0.7050752180755887,0.7050752180755887
momentum_15m,rsi_14,0.7028093384391166,0.7028093384391166
slope_ema_30m_normalized,macd_signal_normalized,0.7021460502092898,0.7021460502092898
ema_30m_normalized,macd_signal_normalized,-0.7021460502092847,0.7021460502092847
slope_ema_60m_normalized,price_z,0.7010193880849604,0.7010193880849604
ema_60m_normalized,price_z,-0.7010193880849431,0.7010193880849431
momentum_30m,dist_from_high_30m,0.7000778133224823,0.7000778133224823
ema_30m_normalized,momentum_60m,-0.6976101140503848,0.6976101140503848
slope_ema_30m_normalized,momentum_60m,0.6976101140503697,0.6976101140503697
price_normalized,dist_from_high_30m,0.6974799663883124,0.6974799663883124
slope_ema_30m_normalized,price_z,0.6961346778854953,0.6961346778854953
ema_30m_normalized,price_z,-0.6961346778854703,0.6961346778854703
price_normalized,ema_10m_z,0.6920584257722481,0.6920584257722481
ema_10m_z,macd_normalized,0.6908935681535666,0.6908935681535666
ema_10m_z,ema_crossover_5m_60m,0.6908935681535666,0.6908935681535666
ema_5m_z,ema_crossover_5m_60m,0.6908513042926381,0.6908513042926381
ema_5m_z,macd_normalized,0.6908513042926381,0.6908513042926381
ema_15m_normalized,momentum_30m,-0.6888747658099269,0.6888747658099269
slope_ema_15m_normalized,momentum_30m,0.688874765809917,0.688874765809917
ema_5m_z,slope_ema_60m_normalized,0.685966241769898,0.685966241769898
ema_5m_z,ema_60m_normalized,-0.6859662417698805,0.6859662417698805
return_1m,ema_5m_normalized,-0.6847919239988555,0.6847919239988555
return_1m,slope_ema_5m_normalized,0.6847919239988384,0.6847919239988384
ema_15m_z,macd_normalized,0.6842903193137866,0.6842903193137866
ema_15m_z,ema_crossover_5m_60m,0.6842903193137866,0.6842903193137866
ema_30m_z,macd_signal_normalized,0.6815143623811384,0.6815143623811384
price_normalized,ema_15m_z,0.6784811517547181,0.6784811517547181
macd_normalized,dist_from_high_30m,0.6776647106868148,0.6776647106868148
ema_crossover_5m_60m,dist_from_high_30m,0.6776647106868148,0.6776647106868148
ema_5m_z,rsi_14,0.6758188936260066,0.6758188936260066
ema_15m_z,macd_signal_normalized,0.6754494225505853,0.6754494225505853
ema_60m_z,price_z,0.6692573173321739,0.6692573173321739
price_z,macd_normalized,0.6671754398837448,0.6671754398837448
price_z,ema_crossover_5m_60m,0.6671754398837448,0.6671754398837448
ema_10m_z,slope_ema_60m_normalized,0.6668742524766946,0.6668742524766946
ema_10m_z,ema_60m_normalized,-0.6668742524766639,0.6668742524766639
ema_15m_normalized,macd_normalized,-0.6640536250649883,0.6640536250649883
ema_15m_normalized,ema_crossover_5m_60m,-0.6640536250649883,0.6640536250649883
slope_ema_15m_normalized,macd_normalized,0.6640536250649769,0.6640536250649769
slope_ema_15m_normalized,ema_crossover_5m_60m,0.6640536250649769,0.6640536250649769
ema_10m_z,macd_signal_normalized,0.6633385537852505,0.6633385537852505
ema_30m_z,ema_crossover_5m_60m,0.661637063099904,0.661637063099904
ema_30m_z,macd_normalized,0.661637063099904,0.661637063099904
ema_15m_normalized,bb_position_20,-0.6607863610526606,0.6607863610526606
slope_ema_15m_normalized,bb_position_20,0.6607863610526559,0.6607863610526559
ema_60m_z,macd_signal_normalized,0.6600182866323958,0.6600182866323958
ema_5m_z,momentum_30m,0.6586459108800484,0.6586459108800484
price_z,momentum_30m,0.6578175925960966,0.6578175925960966
price_normalized,ema_10m_normalized,-0.6565956235444601,0.6565956235444601
price_normalized,slope_ema_10m_normalized,0.6565956235444406,0.6565956235444406
volatility_15m,dist_from_high_30m,-0.6526190405255823,0.6526190405255823
ema_15m_z,slope_ema_60m_normalized,0.6513225707775183,0.6513225707775183
ema_15m_z,ema_60m_normalized,-0.6513225707775028,0.6513225707775028
ema_5m_z,slope_ema_30m_normalized,0.6512065787632811,0.6512065787632811
ema_5m_z,ema_30m_normalized,-0.6512065787632647,0.6512065787632647
ema_10m_z,momentum_30m,0.6498197718681816,0.6498197718681816
slope_ema_10m_normalized,bb_position_20,0.646997326617694,0.646997326617694
ema_10m_normalized,bb_position_20,-0.6469973266176777,0.6469973266176777
ema_30m_z,momentum_60m,0.646983076015009,0.646983076015009
ema_15m_normalized,dist_from_high_30m,-0.6459992308415416,0.6459992308415416
slope_ema_15m_normalized,dist_from_high_30m,0.6459992308415388,0.6459992308415388
price_normalized,ema_30m_z,0.6392561620062399,0.6392561620062399
momentum_15m,dist_from_high_30m,0.6371962118979397,0.6371962118979397
ema_5m_z,macd_signal_normalized,0.6353300463037004,0.6353300463037004
ema_60m_z,momentum_60m,0.6352943131623928,0.6352943131623928
ema_15m_z,momentum_30m,0.6348832327276707,0.6348832327276707
atr_14,dist_from_high_30m,-0.6293246608057103,0.6293246608057103
volatility_60m,dist_from_high_30m,-0.6282368710831757,0.6282368710831757
ema_5m_normalized,slope2_ema_60m_normalized,-0.6267000546581599,0.6267000546581599
slope_ema_5m_normalized,slope2_ema_60m_normalized,0.6267000546581399,0.6267000546581399
ema_15m_z,momentum_60m,0.626390934242736,0.626390934242736
slope_ema_30m_normalized,rsi_14,0.6258913762348534,0.6258913762348534
ema_30m_normalized,rsi_14,-0.6258913762348238,0.6258913762348238
ema_5m_normalized,oc_spread,-0.621992338885983,0.621992338885983
slope_ema_5m_normalized,oc_spread,0.6219923388859537,0.6219923388859537
ema_60m_z,ema_crossover_5m_60m,0.621314926454442,0.621314926454442
ema_60m_z,macd_normalized,0.621314926454442,0.621314926454442
ema_30m_z,slope_ema_60m_normalized,0.6186600159401819,0.6186600159401819
ema_30m_z,ema_60m_normalized,-0.6186600159401565,0.6186600159401565
ema_5m_z,bb_position_20,0.6176242887492346,0.6176242887492346
ema_15m_normalized,rsi_14,-0.6174804358354938,0.6174804358354938
slope_ema_15m_normalized,rsi_14,0.6174804358354934,0.6174804358354934
slope_ema_30m_normalized,bb_position_20,0.6157408878359347,0.6157408878359347
ema_30m_normalized,bb_position_20,-0.6157408878359115,0.6157408878359115
ema_15m_normalized,price_z,-0.6137563945442515,0.6137563945442515
slope_ema_15m_normalized,price_z,0.6137563945442494,0.6137563945442494
ema_10m_z,momentum_60m,0.6135639129097383,0.6135639129097383
price_z,momentum_15m,0.6053038130656364,0.6053038130656364
ema_10m_z,slope_ema_30m_normalized,0.6039589086474191,0.6039589086474191
ema_10m_z,ema_30m_normalized,-0.6039589086474094,0.6039589086474094
momentum_15m,bb_position_20,0.6008822176448206,0.6008822176448206
ema_5m_z,momentum_60m,0.5978730943434782,0.5978730943434782
price_range,volatility_15m,0.5953134608741675,0.5953134608741675
bb_position_20,macd_histogram_normalized,0.5936849128253494,0.5936849128253494
ema_10m_z,rsi_14,0.5930639985948233,0.5930639985948233
price_z,macd_signal_normalized,0.5880738947708521,0.5880738947708521
ema_5m_normalized,momentum_15m,-0.5876156078913986,0.5876156078913986
slope_ema_5m_normalized,momentum_15m,0.5876156078913919,0.5876156078913919
price_range,volatility_60m,0.5860473060961469,0.5860473060961469
macd_signal_normalized,dist_from_high_30m,0.5859321690427226,0.5859321690427226
price_range,volatility_30m,0.5844427528352855,0.5844427528352855
ema_30m_z,momentum_30m,0.582430146823966,0.582430146823966
price_z,momentum_60m,0.5818700829048521,0.5818700829048521
slope_ema_5m_normalized,bb_position_20,0.578096936757542,0.578096936757542
ema_5m_normalized,bb_position_20,-0.5780969367575276,0.5780969367575276
ema_5m_z,momentum_15m,0.5777041474562137,0.5777041474562137
ema_10m_normalized,momentum_30m,-0.5749655707662779,0.5749655707662779
slope_ema_10m_normalized,momentum_30m,0.5749655707662542,0.5749655707662542
ema_60m_z,slope_ema_60m_normalized,0.5747020914583169,0.5747020914583169
ema_60m_normalized,ema_60m_z,-0.5747020914582944,0.5747020914582944
ema_5m_normalized,slope2_ema_30m_normalized,-0.5743829491629846,0.5743829491629846
slope_ema_5m_normalized,slope2_ema_30m_normalized,0.5743829491629614,0.5743829491629614
price_normalized,ema_60m_z,0.573975881629076,0.573975881629076
atr_14,dist_from_low_30m,0.5739270821292675,0.5739270821292675
ema_10m_normalized,dist_from_high_30m,-0.5734978714788174,0.5734978714788174
slope_ema_10m_normalized,dist_from_high_30m,0.5734978714788124,0.5734978714788124
volatility_30m,dist_from_low_30m,0.57301414325738,0.57301414325738
ema_30m_normalized,dist_from_low_30m,-0.5720989196722013,0.5720989196722013
slope_ema_30m_normalized,dist_from_low_30m,0.5720989196721987,0.5720989196721987
momentum_30m,dist_from_low_30m,0.569284671079236,0.569284671079236
ema_15m_z,slope_ema_30m_normalized,0.5680239054767308,0.5680239054767308
ema_15m_z,ema_30m_normalized,-0.56802390547672,0.56802390547672
momentum_15m,macd_signal_normalized,0.5666368753782288,0.5666368753782288
slope_ema_5m_normalized,slope_ema_60m_normalized,0.5607425494965019,0.5607425494965019
ema_5m_normalized,slope_ema_60m_normalized,-0.5607425494964932,0.5607425494964932
ema_60m_normalized,slope_ema_5m_normalized,-0.5607425494964869,0.5607425494964869
ema_5m_normalized,ema_60m_normalized,0.5607425494964863,0.5607425494964863
slope_ema_10m_normalized,rsi_14,0.5606828236376065,0.5606828236376065
ema_10m_normalized,rsi_14,-0.5606828236376037,0.5606828236376037
slope_ema_5m_normalized,return_lag_1,0.558058242588476,0.558058242588476
ema_5m_normalized,return_lag_1,-0.558058242588455,0.558058242588455
rsi_14,macd_histogram_normalized,0.5564800857734065,0.5564800857734065
volatility_60m,dist_from_low_30m,0.5546928118261227,0.5546928118261227
slope_ema_10m_normalized,price_z,0.5489324574297599,0.5489324574297599
ema_10m_normalized,price_z,-0.5489324574297457,0.5489324574297457
price_normalized,dist_from_low_30m,0.5446167259062084,0.5446167259062084
slope_ema_60m_normalized,rsi_14,0.5409334804833482,0.5409334804833482
ema_60m_normalized,rsi_14,-0.5409334804833272,0.5409334804833272
ema_10m_normalized,ema_crossover_5m_60m,-0.5362832068798562,0.5362832068798562
ema_10m_normalized,macd_normalized,-0.5362832068798562,0.5362832068798562
slope_ema_10m_normalized,macd_normalized,0.5362832068798369,0.5362832068798369
slope_ema_10m_normalized,ema_crossover_5m_60m,0.5362832068798369,0.5362832068798369
momentum_15m,dist_from_low_30m,0.5350445406153408,0.5350445406153408
return_1m,ema_10m_normalized,-0.5305047091030839,0.5305047091030839
return_1m,slope_ema_10m_normalized,0.5305047091030745,0.5305047091030745
slope_ema_10m_normalized,return_lag_1,0.5294120690356705,0.5294120690356705
ema_10m_normalized,return_lag_1,-0.5294120690356658,0.5294120690356658
ema_5m_z,slope_ema_15m_normalized,0.5287068419065413,0.5287068419065413
ema_5m_z,ema_15m_normalized,-0.5287068419065407,0.5287068419065407
ema_10m_z,momentum_15m,0.5268205722024829,0.5268205722024829
ema_60m_normalized,dist_from_low_30m,-0.5244483145000561,0.5244483145000561
slope_ema_60m_normalized,dist_from_low_30m,0.5244483145000316,0.5244483145000316
ema_15m_z,rsi_14,0.5240426072414723,0.5240426072414723
price_normalized,rsi_14,0.5228389634555761,0.5228389634555761
momentum_60m,dist_from_high_30m,0.5203961274395671,0.5203961274395671
ema_15m_normalized,dist_from_low_30m,-0.5201430247091535,0.5201430247091535
slope_ema_15m_normalized,dist_from_low_30m,0.5201430247091257,0.5201430247091257
momentum_15m,momentum_60m,0.5197769565612076,0.5197769565612076
slope_ema_60m_normalized,bb_position_20,0.5101384587797781,0.5101384587797781
ema_60m_normalized,bb_position_20,-0.5101384587797617,0.5101384587797617
ema_10m_z,bb_position_20,0.5082124867128366,0.5082124867128366
ema_15m_normalized,momentum_60m,-0.5081836461886411,0.5081836461886411
slope_ema_15m_normalized,momentum_60m,0.5081836461886252,0.5081836461886252
ema_60m_z,momentum_30m,0.5034847635859798,0.5034847635859798
price_normalized,ema_5m_normalized,-0.5010013049977333,0.5010013049977333
price_normalized,slope_ema_5m_normalized,0.5010013049977273,0.5010013049977273
ema_30m_z,slope_ema_30m_normalized,0.49844130657107,0.49844130657107
ema_30m_normalized,ema_30m_z,-0.49844130657104435,0.49844130657104435
volatility_15m,dist_from_low_30m,0.49417672509656724,0.49417672509656724
macd_normalized,dist_from_low_30m,0.4897231835803986,0.4897231835803986
ema_crossover_5m_60m,dist_from_low_30m,0.4897231835803986,0.4897231835803986
rsi_14,ema_crossover_5m_60m,0.48956251233948167,0.48956251233948167
rsi_14,macd_normalized,0.48956251233948167,0.48956251233948167
ema_5m_normalized,slope2_ema_15m_normalized,-0.48566861272809375,0.48566861272809375
slope_ema_5m_normalized,slope2_ema_15m_normalized,0.4856686127280696,0.4856686127280696
price_normalized,bb_position_20,0.48360330808280416,0.48360330808280416
slope_ema_15m_normalized,return_lag_1,0.4825239243130372,0.4825239243130372
ema_15m_normalized,return_lag_1,-0.482523924313026,0.482523924313026
momentum_30m,rsi_14,0.4819922519437864,0.4819922519437864
ema_10m_normalized,oc_spread,-0.48179547435262265,0.48179547435262265
slope_ema_10m_normalized,oc_spread,0.4817954743525966,0.4817954743525966
ema_15m_z,momentum_15m,0.4804386706127167,0.4804386706127167
slope_ema_60m_normalized,macd_histogram_normalized,0.47947379021141984,0.47947379021141984
ema_60m_normalized,macd_histogram_normalized,-0.4794737902113991,0.4794737902113991
macd_histogram_normalized,return_lag_2,0.4785214909029196,0.4785214909029196
price_z,dist_from_low_30m,0.4746094797873269,0.4746094797873269
price_z,dist_from_high_30m,0.46817444286490423,0.46817444286490423
rsi_14,dist_from_low_30m,0.46378031133018655,0.46378031133018655
ema_10m_normalized,dist_from_low_30m,-0.4616603893888741,0.4616603893888741
slope_ema_10m_normalized,dist_from_low_30m,0.4616603893888486,0.4616603893888486
price_range,dist_from_high_30m,-0.4599487082651977,0.4599487082651977
ema_10m_z,slope_ema_15m_normalized,0.456521707781013,0.456521707781013
ema_10m_z,ema_15m_normalized,-0.45652170778101064,0.45652170778101064
slope_ema_5m_normalized,dist_from_high_30m,0.45264237324961,0.45264237324961
ema_5m_normalized,dist_from_high_30m,-0.4526423732495989,0.4526423732495989
return_1m,ema_15m_normalized,-0.45226526766252906,0.45226526766252906
return_1m,slope_ema_15m_normalized,0.4522652676624996,0.4522652676624996
bb_position_20,dist_from_low_30m,0.4482954199439971,0.4482954199439971
ema_10m_normalized,slope2_ema_60m_normalized,-0.4480946479623185,0.4480946479623185
slope_ema_10m_normalized,slope2_ema_60m_normalized,0.4480946479622962,0.4480946479622962
ema_5m_z,dist_from_high_30m,0.4456632513573829,0.4456632513573829
ema_15m_normalized,macd_signal_normalized,-0.4452971104674205,0.4452971104674205
slope_ema_15m_normalized,macd_signal_normalized,0.44529711046739706,0.44529711046739706
macd_histogram_normalized,return_lag_1,0.4425822498109977,0.4425822498109977
ema_5m_z,dist_from_low_30m,0.4424604023054537,0.4424604023054537
slope_ema_5m_normalized,price_z,0.4424252026699543,0.4424252026699543
ema_5m_normalized,price_z,-0.44242520266993757,0.44242520266993757
macd_histogram_normalized,dist_from_high_30m,0.4412551502396573,0.4412551502396573
ema_5m_z,ema_10m_normalized,-0.43988165892078285,0.43988165892078285
ema_5m_z,slope_ema_10m_normalized,0.4398816589207738,0.4398816589207738
momentum_30m,bb_position_20,0.4363071667127942,0.4363071667127942
slope_ema_10m_normalized,return_lag_2,0.4362045787466988,0.4362045787466988
ema_10m_normalized,return_lag_2,-0.4362045787466892,0.4362045787466892
ema_15m_z,bb_position_20,0.43581048341611694,0.43581048341611694
slope_ema_5m_normalized,rsi_14,0.43003151386976507,0.43003151386976507
ema_5m_normalized,rsi_14,-0.4300315138697596,0.4300315138697596
ema_60m_z,slope_ema_30m_normalized,0.4252098651781883,0.4252098651781883
ema_30m_normalized,ema_60m_z,-0.4252098651781668,0.4252098651781668
slope_ema_15m_normalized,return_lag_2,0.42201975064371944,0.42201975064371944
ema_15m_normalized,return_lag_2,-0.4220197506437004,0.4220197506437004
price_normalized,macd_histogram_normalized,0.42084824357233447,0.42084824357233447
slope_ema_5m_normalized,momentum_30m,0.4205963988235093,0.4205963988235093
ema_5m_normalized,momentum_30m,-0.4205963988235072,0.4205963988235072
ema_10m_z,dist_from_high_30m,0.4194943933280443,0.4194943933280443
rsi_14,dist_from_high_30m,0.4194152073016267,0.4194152073016267
slope_ema_10m_normalized,momentum_60m,0.41858508948486034,0.41858508948486034
ema_10m_normalized,momentum_60m,-0.4185850894848543,0.4185850894848543
price_range,dist_from_low_30m,0.4146866271371465,0.4146866271371465
